Length,Density,Baseline,TasksPerNode,Distribution,Time
1000000,0.03,13,8,1,0.065855
1000000,0.03,13,16,1,0.130582
1000000,0.03,13,32,1,0.29082
1000000,0.03,13,64,1,0.641225
1000000,0.03,13,128,1,1.04748
1000000,0.05,13,2,1,0.0249837
1000000,0.05,13,4,1,0.0491953
1000000,0.05,13,8,1,0.114724
1000000,0.05,13,16,1,0.173256
1000000,0.05,13,32,1,0.397531
1000000,0.05,13,64,1,0.798922
1000000,0.05,13,128,1,1.30014
1000000,0.1,13,2,1,0.0525463
1000000,0.1,13,4,1,0.0816554
1000000,0.1,13,8,1,0.141834
1000000,0.1,13,16,1,0.234708
1000000,0.1,13,32,1,0.494173
1000000,0.1,13,64,1,1.17865
1000000,0.1,13,128,1,1.95062
1000000,0.2,13,2,1,0.246864
1000000,0.2,13,4,1,0.153988
1000000,0.2,13,8,1,0.286672
1000000,0.2,13,16,1,0.40973
1000000,0.2,13,32,1,0.827581
1000000,0.2,13,64,1,2.40035
1000000,0.2,13,128,1,3.5648
1000000,0.01,13,2,2,0.00770507
1000000,0.01,13,4,2,0.0159654
1000000,0.01,13,8,2,0.0319471
1000000,0.01,13,16,2,0.0628169
1000000,0.01,13,32,2,0.142235
1000000,0.01,13,64,2,0.319321
1000000,0.01,13,128,2,0.612674
1000000,0.03,13,2,2,0.0157665
1000000,0.03,13,4,2,0.0332269
1000000,0.03,13,8,2,0.0639197
1000000,0.03,13,16,2,0.116365
1000000,0.03,13,32,2,0.215891
1000000,0.03,13,64,2,0.743403
1000000,0.03,13,128,2,0.975223
1000000,0.05,13,2,2,0.0265307
1000000,0.05,13,4,2,0.054495
1000000,0.05,13,8,2,0.087669
1000000,0.05,13,16,2,0.148023
1000000,0.05,13,32,2,0.407089
1000000,0.05,13,64,2,0.789858
1000000,0.05,13,128,2,1.24086
1000000,0.1,13,2,2,0.108809
1000000,0.1,13,4,2,0.0978907
1000000,0.1,13,8,2,0.129108
1000000,0.1,13,16,2,0.238148
1000000,0.1,13,32,2,0.518648
1000000,0.1,13,64,2,1.0338
1000000,0.1,13,128,2,2.00155
1000000,0.2,13,2,2,0.400437
1000000,0.2,13,4,2,0.799304
1000000,0.2,13,8,2,0.254932
1000000,0.2,13,16,2,0.903713
1000000,0.2,13,32,2,0.634744
1000000,0.2,13,64,2,2.18303
1000000,0.2,13,128,2,3.24053
